                                                  The MEANS Procedure

 Variable        N           Mean        Std Dev        Minimum         Maximum
 ------------------------------------------------------------------------------
 age            10     37.9000000     41.3399188     -5.0000000     150.0000000
 ------------------------------------------------------------------------------


  Obs  age  age_mean        age_std
    1   25      37.9  41.3399188302
    2   30      37.9  41.3399188302
    3   28      37.9  41.3399188302
    4   33      37.9  41.3399188302
    5   41      37.9  41.3399188302
    6   19      37.9  41.3399188302
    7   22      37.9  41.3399188302
    8   -5      37.9  41.3399188302
    9   36      37.9  41.3399188302

